angulo_grados,fraccion_caudal,area_m2,altura_flujo_m,separacion_radial_total_m,radio_exterior_m
0.0,0.0,0.0,0.0,0.048,0.348
45.0,0.125,0.025,0.08928571428571429,0.1372857142857143,0.4372857142857143
90.0,0.25,0.05,0.17857142857142858,0.2265714285714286,0.5265714285714286
135.0,0.375,0.07500000000000001,0.26785714285714285,0.31585714285714284,0.6158571428571429
180.0,0.5,0.1,0.35714285714285715,0.40514285714285714,0.7051428571428571
225.0,0.625,0.125,0.4464285714285714,0.4944285714285714,0.7944285714285714
270.0,0.75,0.15000000000000002,0.5357142857142857,0.5837142857142857,0.8837142857142857
315.0,0.875,0.17500000000000002,0.625,0.673,0.9730000000000001
360.0,1.0,0.2,0.7142857142857143,0.7622857142857143,1.0622857142857143
